method,path,tag,handler,file,line
POST,/api/v1/senior-review,senior-review,request_senior_review,backend/app/api/v1/routes/senior_review.py,29
GET,/api/v1/skills/graph,skills,get_skill_graph,backend/app/api/v1/routes/skills.py,26
GET,/api/v1/skills/me,skills,get_my_skill_states,backend/app/api/v1/routes/skills.py,37
GET,/api/v1/skills/me/path,skills,get_my_saved_path,backend/app/api/v1/routes/skill_path.py,49
POST,/api/v1/skills/me/path,skills,save_my_path,backend/app/api/v1/routes/skill_path.py,40
GET,/api/v1/skills/path,skills,get_my_skill_path,backend/app/api/v1/routes/skill_path.py,26
POST,/api/v1/skills/{skill_id}/touch,skills,touch_skill,backend/app/api/v1/routes/skills.py,50
POST,/api/v1/srs/cards,srs,create_card,backend/app/api/v1/routes/srs.py,35
POST,/api/v1/srs/cards/{card_id}/review,srs,review_card,backend/app/api/v1/routes/srs.py,77
GET,/api/v1/srs/due,srs,list_due_cards,backend/app/api/v1/routes/srs.py,25
GET,/api/v1/srs/review/weekly,srs,get_weekly_review,backend/app/api/v1/routes/srs.py,51
DELETE,/api/v1/students/me/lessons/{lesson_id}/complete,students,uncomplete_lesson,backend/app/api/v1/routes/students.py,49
POST,/api/v1/students/me/lessons/{lesson_id}/complete,students,complete_lesson,backend/app/api/v1/routes/students.py,37
GET,/api/v1/students/me/lessons/{lesson_id}/retrieval-quiz,students,get_retrieval_quiz,backend/app/api/v1/routes/students.py,61
POST,/api/v1/students/me/lessons/{lesson_id}/retrieval-quiz,students,submit_retrieval_quiz,backend/app/api/v1/routes/students.py,85
GET,/api/v1/students/me/progress,students,get_my_progress,backend/app/api/v1/routes/students.py,29
POST,/api/v1/tailored-resume/generate,tailored-resume,generate,backend/app/api/v1/routes/tailored_resume.py,105
POST,/api/v1/tailored-resume/intake,tailored-resume,start_intake,backend/app/api/v1/routes/tailored_resume.py,75
GET,/api/v1/tailored-resume/quota,tailored-resume,get_quota,backend/app/api/v1/routes/tailored_resume.py,65
GET,/api/v1/tailored-resume/{tailored_resume_id}/pdf,tailored-resume,download_pdf,backend/app/api/v1/routes/tailored_resume.py,147
POST,/api/v1/teach-back/evaluate,teach-back,evaluate,backend/app/api/v1/routes/teach_back.py,41
GET,/api/v1/today/consistency,today,get_today_consistency,backend/app/api/v1/routes/today.py,79
GET,/api/v1/today/first-day-plan,today,get_first_day_plan,backend/app/api/v1/routes/today.py,131
GET,/api/v1/today/intention,today,get_today_intention,backend/app/api/v1/routes/today.py,67
POST,/api/v1/today/intention,today,set_today_intention,backend/app/api/v1/routes/today.py,51
GET,/api/v1/today/micro-wins,today,get_today_micro_wins,backend/app/api/v1/routes/today.py,215
POST,/api/v1/today/session/step/{step},today,mark_session_step,backend/app/api/v1/routes/today.py,178
GET,/api/v1/today/summary,today,get_today_summary,backend/app/api/v1/routes/today.py,162
GET,/api/v1/today/weekly-intentions,today,get_weekly_intentions,backend/app/api/v1/routes/today.py,119
POST,/api/v1/today/weekly-intentions,today,set_weekly_intentions,backend/app/api/v1/routes/today.py,98
POST,/api/v1/webhooks/github,webhooks,github_webhook,backend/app/api/v1/routes/webhooks.py,155
POST,/api/v1/webhooks/stripe,webhooks,stripe_webhook,backend/app/api/v1/routes/webhooks.py,174
POST,/api/v1/webhooks/youtube,webhooks,youtube_webhook,backend/app/api/v1/routes/webhooks.py,195
GET,/health,health,health_check,backend/app/api/v1/routes/health.py,45
GET,/health/live,health,liveness,backend/app/api/v1/routes/health.py,53
GET,/health/ready,health,readiness,backend/app/api/v1/routes/health.py,86
